0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:32 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:32 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:34 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:34 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:35 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:35 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:36 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:36 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:37 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:37 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:37 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:37 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:38 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:38 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:39 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:39 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:40 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:40 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:40 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:40 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:41 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:41 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:42 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:42 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:50 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:50 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:50 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:50 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:50 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:51 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:51 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:51 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:51 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:52 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:52 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:52 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:52 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:52 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:53 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:53 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:21:53 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:28:22 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:28:22 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:34:54 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:34:54 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:35:01 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:35:01 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:35:14 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:35:14 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:52 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:52 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:54 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:54 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
